Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/07/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Switzerland,CHE,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23565E+11,3.20602E+11,3.20462E+11,3.20058E+11,3.24122E+11,3.25681E+11,3.2744E+11,3.35102E+11,3.45121E+11,3.5097E+11,3.64787E+11,3.69575E+11,3.70176E+11,3.70322E+11,3.80603E+11,3.9246E+11,4.08114E+11,4.24895E+11,4.3405E+11,4.24405E+11,4.37149E+11,4.44549E+11,4.49021E+11,4.57337E+11,4.68538E+11,4.74786E+11,4.82388E+11,4.90187E+11,5.0264E+11
Channel Islands,CHI,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19071E+11,1.28364E+11,1.42698E+11,1.521E+11,1.59751E+11,1.74022E+11,1.85861E+11,1.99666E+11,2.08301E+11,2.07442E+11,2.18493E+11,2.2571E+11,2.32722E+11,2.42243E+11,2.59708E+11,2.74622E+11,2.91971E+11,3.06293E+11,3.17104E+11,3.12143E+11,3.30386E+11,3.50575E+11,3.69221E+11,3.84156E+11,3.90943E+11,3.99949E+11,4.06631E+11,4.11832E+11,4.28407E+11
China,CHN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72771E+12,1.88829E+12,2.15673E+12,2.45581E+12,2.77635E+12,3.08034E+12,3.38617E+12,3.69873E+12,3.98863E+12,4.29445E+12,4.65912E+12,5.04769E+12,5.50857E+12,6.06139E+12,6.67427E+12,7.43486E+12,8.38053E+12,9.5732E+12,1.04974E+13,1.14842E+13,1.27056E+13,1.39191E+13,1.50131E+13,1.61794E+13,1.73605E+13,1.85593E+13,1.98095E+13,2.11481E+13,2.25438E+13
Cote d'Ivoire,CIV,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39180243996,39196278577,39100419918,39025157436,39341732121,42145123523,45402658112,47102330747,49424795774,50224255409,49185416882,49245114164,48423881889,47765541810,48353904781,49186195094,49931780276,50813094565,52105191009,53799367179,54884843974,52476906029,58095348126,63259688377,68822794330,74908697646,80880232639,87109700482,93584626911
Cameroon,CMR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35385721209,34038020853,32982841114,30366620198,31011587608,32087625240,33486994338,35238806408,36825360102,38405910798,39770616586,41507830622,43266601948,45242672140,48310557796,49286751028,50990923637,53490601579,55356782178,56573891876,58510137648,60926183399,63694221375,67136426340,71086773495,75104216726,78595422384,81384842553,84526213645
"Congo, Dem. Rep.",COD,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48004565259,43962076097,39346054341,34046514397,32718701424,32947731951,32610619772,30778866063,30278969865,28986015210,26982812767,26416127011,27194812406,28711690720,30646391804,32526594264,34257327699,36401657509,38667986217,39771981975,42598965138,45527503793,48753991980,52889284438,57898052047,61902390065,63387663074,65750088095,69535933943
"Congo, Rep.",COG,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12544964566,12845462564,13180979374,13051847532,12334899661,12826485424,13376803416,13293223523,13790064767,13433977803,14451733327,15001275213,15688614151,15816204014,16366075164,17635388508,18735130808,18438699307,19466146637,20920061934,22750902379,23529134689,24423235057,25263566588,26976415221,27690342240,26915007455,26080642223,26348113347
Colombia,COL,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5585E+11,2.60971E+11,2.71527E+11,2.8615E+11,3.02789E+11,3.18541E+11,3.2509E+11,3.36241E+11,3.38157E+11,3.23941E+11,3.33416E+11,3.3901E+11,3.47499E+11,3.61115E+11,3.80373E+11,3.98276E+11,4.25276E+11,4.54402E+11,4.69202E+11,4.74858E+11,4.95503E+11,5.31984E+11,5.52748E+11,5.77991E+11,6.0532E+11,6.23213E+11,6.36222E+11,6.4482E+11,6.6196E+11
Comoros,COM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062118545,1004810482,1090530682,1123312703,1064037929,1102451895,1088211646,1132068247,1146587201,1168652225,1295426200,1325647290,1356467858,1385006201,1411593608,1451648253,1490072736,1501993949,1562073286,1612061398,1673318658,1741922162,1797668425,1878561243,1918011150,1939108594,1981540119,2035193465,2092178882
